word1,word2,SimLex999,POS
floor,deck,5.55,N
roof,floor,2.62,N
door,floor,1.67,N
shoulder,head,3.42,N
wagon,carriage,7.7,N
car,carriage,5.13,N
elbow,ankle,3.13,N
wealth,fame,4.02,N
sorrow,shame,4.77,N
administration,management,7.25,N
communication,conversation,8.02,N
pollution,atmosphere,4.25,N
anatomy,biology,5.33,N
college,profession,3.12,N
book,topic,2.07,N
formula,equation,7.95,N
book,information,5.0,N
boy,partner,1.9,N
sky,universe,4.68,N
population,people,7.68,N
college,class,4.13,N
chief,mayor,4.85,N
rabbi,minister,7.62,N
meter,inch,5.08,N
polyester,cotton,5.63,N
lawyer,banker,1.88,N
violin,instrument,6.58,N
camp,cabin,4.2,N
pot,appliance,2.53,N
linen,fabric,7.47,N
whiskey,champagne,5.33,N
girl,child,5.38,N
cottage,cabin,7.72,N
bird,hen,7.03,N
racket,noise,8.1,N
sunset,evening,5.98,N
drizzle,rain,9.17,N
adult,baby,2.22,N
charcoal,coal,7.63,N
body,spine,4.78,N
head,nail,2.47,N
log,timber,8.05,N
spoon,cup,2.02,N
body,nerve,3.13,N
man,husband,5.32,N
bone,neck,2.53,N
frustration,anger,6.5,N
river,sea,5.72,N
task,job,8.87,N
club,society,5.23,N
reflection,image,7.27,N
prince,king,5.92,N
snow,weather,5.48,N
people,party,2.2,N
boy,brother,6.67,N
root,grass,3.55,N
brow,eye,3.82,N
money,pearl,2.1,N
money,diamond,3.42,N
vehicle,bus,6.47,N
cab,bus,5.6,N
house,barn,4.33,N
finger,palm,3.33,N
car,bridge,0.95,N
effort,difficulty,4.45,N
fact,insight,4.77,N
job,management,3.97,N
cancer,sickness,7.93,N
word,newspaper,2.47,N
composer,writer,6.58,N
actor,singer,4.52,N
shelter,hut,6.47,N
bathroom,kitchen,3.1,N
cabin,hut,6.53,N
door,kitchen,1.67,N
value,belief,7.07,N
wisdom,intelligence,7.47,N
ignorance,intelligence,1.5,N
happiness,luck,2.38,N
idea,scheme,6.75,N
mood,emotion,8.12,N
happiness,peace,6.03,N
despair,misery,7.22,N
logic,arithmetic,3.97,N
denial,confession,1.03,N
argument,criticism,5.08,N
aggression,hostility,8.48,N
hysteria,confusion,6.33,N
chemistry,theory,3.17,N
trial,verdict,3.33,N
comfort,safety,5.8,N
confidence,self,3.12,N
vision,perception,6.88,N
era,decade,5.4,N
biography,fiction,1.38,N
discussion,argument,5.48,N
code,symbol,6.03,N
danger,disease,3.0,N
accident,catastrophe,5.9,N
journey,trip,8.88,N
activity,movement,7.15,N
gossip,news,5.22,N
father,god,3.57,N
action,course,5.45,N
fever,illness,7.65,N
aviation,flight,8.18,N
game,action,4.85,N
molecule,air,3.05,N
home,state,2.58,N
word,literature,4.77,N
adult,guardian,6.9,N
newspaper,information,5.65,N
communication,television,5.6,N
cousin,uncle,4.63,N
author,reader,1.6,N
guy,partner,3.57,N
area,corner,2.07,N
ballad,song,7.53,N
wall,decoration,2.62,N
word,page,2.92,N
nurse,scientist,2.08,N
politician,president,7.38,N
president,mayor,5.68,N
book,essay,4.72,N
man,warrior,4.72,N
article,journal,6.18,N
breakfast,supper,4.4,N
crowd,parade,3.93,N
aisle,hallway,6.75,N
teacher,rabbi,4.37,N
hip,lip,1.43,N
book,article,5.43,N
room,cell,4.58,N
box,booth,3.8,N
daughter,kid,4.17,N
limb,leg,6.9,N
liver,lung,2.7,N
classroom,hallway,2.0,N
mountain,ledge,3.73,N
car,elevator,1.03,N
bed,couch,3.42,N
clothes,button,2.3,N
clothes,coat,5.35,N
kidney,organ,6.17,N
apple,sauce,1.43,N
chicken,steak,3.73,N
car,hose,0.87,N
tobacco,cigarette,7.5,N
student,professor,1.95,N
baby,daughter,5.0,N
pipe,cigar,6.03,N
milk,juice,4.05,N
box,cigar,1.25,N
apartment,hotel,3.33,N
cup,cone,3.17,N
horse,ox,3.02,N
throat,nose,2.8,N
bone,teeth,4.17,N
bone,elbow,3.78,N
bacon,bean,1.22,N
cup,jar,5.13,N
proof,fact,7.3,N
appointment,engagement,6.75,N
birthday,year,1.67,N
word,clue,2.53,N
author,creator,8.02,N
atom,carbon,3.1,N
archbishop,bishop,7.05,N
letter,paragraph,4.0,N
page,paragraph,3.03,N
steeple,chapel,7.08,N
muscle,bone,3.65,N
muscle,tongue,5.0,N
boy,soldier,2.15,N
belly,abdomen,8.13,N
guy,girl,3.33,N
bed,chair,3.5,N
clothes,jacket,5.15,N
gun,knife,3.65,N
tin,metal,5.63,N
bottle,container,7.93,N
hen,turkey,6.13,N
meat,bread,1.67,N
arm,bone,3.83,N
neck,spine,5.32,N
apple,lemon,4.05,N
agony,grief,7.63,N
assignment,task,8.7,N
night,dawn,2.95,N
dinner,soup,3.72,N
calf,bull,4.93,N
snow,storm,4.8,N
nail,hand,3.42,N
dog,horse,2.38,N
arm,neck,1.58,N
ball,glove,1.75,N
flu,fever,6.08,N
fee,salary,3.72,N
nerve,brain,3.88,N
beast,animal,7.83,N
dinner,chicken,2.85,N
girl,maid,2.93,N
child,boy,5.75,N
alcohol,wine,7.42,N
nose,mouth,3.73,N
street,car,2.38,N
bell,door,2.2,N
box,hat,1.3,N
belief,impression,5.95,N
bias,opinion,5.6,N
attention,awareness,8.73,N
anger,mood,4.1,N
elegance,style,5.72,N
beauty,age,1.58,N
book,theme,2.58,N
friend,mother,2.53,N
vitamin,iron,5.55,N
car,factory,2.75,N
pact,condition,2.45,N
chapter,choice,0.48,N
arithmetic,rhythm,2.35,N
winner,presence,1.08,N
belief,flower,0.4,N
winner,goal,3.23,N
trick,size,0.48,N
choice,vein,0.98,N
hymn,conquest,0.68,N
endurance,band,0.4,N
jail,choice,1.08,N
condition,boy,0.48,N
flower,endurance,0.4,N
hole,agreement,0.3,N
doctor,temper,0.48,N
fraternity,door,0.68,N
task,woman,0.68,N
fraternity,baseball,0.88,N
cent,size,0.4,N
presence,door,0.48,N
mouse,management,0.48,N
task,highway,0.48,N
liquor,century,0.4,N
task,straw,0.68,N
island,task,0.3,N
night,chapter,0.48,N
pollution,president,0.68,N
gun,trick,0.48,N
bath,trick,0.58,N
diet,apple,1.18,N
cent,wife,0.58,N
chapter,tail,0.3,N
course,stomach,0.58,N
hymn,straw,0.4,N
dentist,colonel,0.4,N
wife,straw,0.4,N
hole,wife,0.68,N
pupil,president,0.78,N
bath,wife,0.48,N
people,cent,0.48,N
formula,log,1.77,N
woman,fur,0.58,N
apple,sunshine,0.58,N
gun,dawn,1.18,N
meal,waist,0.98,N
camera,president,0.48,N
liquor,band,0.68,N
stomach,vein,2.35,N
gun,fur,0.3,N
couch,baseball,0.88,N
worker,camera,0.68,N
deck,mouse,0.48,N
rice,boy,0.4,N
people,gun,0.68,N
cliff,tail,0.3,N
ankle,window,0.3,N
princess,island,0.3,N
container,mouse,0.3,N
wagon,container,2.65,N
people,balloon,0.48,N
dollar,people,0.4,N
bath,balloon,0.4,N
stomach,bedroom,0.4,N
bicycle,bedroom,0.4,N
log,bath,0.4,N
bowl,tail,0.48,N
go,come,2.42,V
take,steal,6.18,V
listen,hear,8.17,V
think,rationalize,8.25,V
occur,happen,9.32,V
vanish,disappear,9.8,V
multiply,divide,1.75,V
plead,beg,9.08,V
begin,originate,8.2,V
protect,defend,9.13,V
kill,destroy,5.9,V
create,make,8.72,V
accept,reject,0.83,V
ignore,avoid,6.87,V
carry,bring,5.8,V
leave,enter,0.95,V
choose,elect,7.62,V
lose,fail,7.33,V
encourage,discourage,1.58,V
achieve,accomplish,8.57,V
make,construct,8.33,V
listen,obey,4.93,V
inform,notify,9.25,V
receive,give,1.47,V
borrow,beg,2.62,V
take,obtain,7.1,V
advise,recommend,8.1,V
imitate,portray,6.75,V
win,succeed,7.9,V
think,decide,5.13,V
greet,meet,6.17,V
agree,argue,0.77,V
enjoy,entertain,5.92,V
destroy,make,1.6,V
save,protect,6.58,V
give,lend,7.22,V
understand,know,7.47,V
take,receive,5.08,V
accept,acknowledge,6.88,V
decide,choose,8.87,V
accept,believe,6.75,V
keep,possess,8.27,V
roam,wander,8.83,V
succeed,fail,0.83,V
spend,save,0.55,V
leave,go,7.63,V
come,attend,8.1,V
know,believe,5.5,V
gather,meet,7.3,V
make,earn,7.62,V
forget,ignore,3.07,V
multiply,add,2.7,V
shrink,grow,0.23,V
arrive,leave,1.33,V
succeed,try,3.98,V
accept,deny,1.75,V
arrive,come,7.05,V
agree,differ,1.05,V
send,receive,1.08,V
win,dominate,5.68,V
add,divide,2.3,V
kill,choke,4.92,V
acquire,get,8.82,V
participate,join,7.7,V
leave,remain,2.53,V
go,enter,4.0,V
take,carry,5.23,V
forget,learn,1.18,V
appoint,elect,8.17,V
engage,marry,5.43,V
ask,pray,3.72,V
go,send,3.75,V
take,deliver,4.37,V
speak,hear,3.02,V
analyze,evaluate,8.03,V
argue,rationalize,4.2,V
lose,keep,1.05,V
compare,analyze,8.1,V
disorganize,organize,1.45,V
go,allow,3.62,V
take,possess,7.2,V
learn,listen,3.88,V
destroy,construct,0.92,V
create,build,8.48,V
steal,buy,1.13,V
kill,hang,4.45,V
forget,know,0.92,V
create,imagine,5.13,V
do,happen,4.23,V
win,accomplish,7.85,V
give,deny,1.43,V
deserve,earn,5.8,V
get,put,1.98,V
locate,find,8.73,V
appear,attend,6.28,V
know,comprehend,7.63,V
pretend,imagine,8.47,V
satisfy,please,7.67,V
cherish,keep,4.85,V
argue,differ,5.15,V
overcome,dominate,6.25,V
behave,obey,7.3,V
cooperate,participate,6.43,V
achieve,try,4.42,V
fail,discourage,3.33,V
begin,quit,1.28,V
say,participate,3.82,V
come,bring,2.42,V
declare,announce,9.08,V
read,comprehend,4.7,V
take,leave,2.47,V
proclaim,announce,8.18,V
acquire,obtain,8.57,V
conclude,decide,7.75,V
please,plead,2.98,V
argue,prove,4.83,V
ask,plead,6.47,V
find,disappear,0.77,V
inspect,examine,8.75,V
verify,justify,4.08,V
assume,predict,4.85,V
learn,evaluate,4.17,V
argue,justify,5.0,V
make,become,4.77,V
discover,originate,4.83,V
achieve,succeed,7.5,V
give,put,3.65,V
understand,listen,4.68,V
expand,grow,8.27,V
borrow,sell,1.73,V
keep,protect,5.4,V
explain,prove,4.1,V
assume,pretend,3.72,V
agree,please,4.13,V
forgive,forget,3.92,V
clarify,explain,8.33,V
understand,forgive,4.87,V
remind,forget,0.87,V
get,remain,1.6,V
realize,discover,7.47,V
require,inquire,1.82,V
ignore,ask,1.07,V
think,inquire,4.77,V
reject,avoid,4.78,V
argue,persuade,6.23,V
pursue,persuade,3.17,V
accept,forgive,3.73,V
do,quit,1.17,V
investigate,examine,8.1,V
discuss,explain,6.67,V
owe,lend,2.32,V
explore,discover,8.48,V
complain,argue,4.8,V
withdraw,reject,6.38,V
keep,borrow,2.25,V
beg,ask,6.0,V
arrange,organize,8.27,V
reduce,shrink,8.02,V
speak,acknowledge,4.67,V
give,borrow,2.22,V
kill,defend,2.63,V
disappear,shrink,5.8,V
deliver,carry,3.88,V
breathe,choke,1.37,V
acknowledge,notify,5.3,V
become,seem,2.63,V
pretend,seem,4.68,V
accomplish,become,4.0,V
contemplate,think,8.82,V
determine,predict,5.8,V
please,entertain,5.0,V
remain,retain,5.75,V
pretend,portray,7.03,V
forget,retain,0.63,V
want,choose,4.78,V
lose,get,0.77,V
try,think,2.62,V
become,appear,4.77,V
leave,ignore,4.42,V
accept,recommend,2.75,V
leave,wander,3.57,V
keep,give,1.05,V
give,allow,5.15,V
bring,send,2.97,V
absorb,learn,5.48,V
acquire,find,6.38,V
leave,appear,0.97,V
create,destroy,0.63,V
begin,go,7.42,V
get,buy,5.08,V
collect,save,6.67,V
replace,restore,5.73,V
join,add,8.1,V
join,marry,5.35,V
accept,deliver,1.58,V
attach,join,7.75,V
put,hang,3.0,V
go,sell,0.97,V
communicate,pray,3.55,V
give,steal,0.5,V
add,build,4.92,V
bring,restore,2.62,V
comprehend,satisfy,2.55,V
portray,decide,1.18,V
organize,become,1.77,V
give,know,0.88,V
say,verify,4.9,V
cooperate,join,5.18,V
arrange,require,0.98,V
borrow,want,1.77,V
investigate,pursue,7.15,V
ignore,explore,0.4,V
bring,complain,0.98,V
enter,owe,0.68,V
portray,notify,0.78,V
remind,sell,0.4,V
absorb,possess,5.0,V
join,acquire,2.85,V
send,attend,1.67,V
gather,attend,4.8,V
absorb,withdraw,2.97,V
attend,arrive,6.08,V
